  109.00   79.00   79.00    3.00
  116.00   83.00   84.00    4.00
  103.00   91.00   90.00    4.00
   90.00   83.00   82.00    3.00
   79.00   78.00   76.00    3.00
  109.00   87.00   88.00    3.00
  107.00   83.00   84.00    3.00
  103.00   84.00   83.00    3.00
  104.00   76.00   80.00    3.00
  115.00   87.00   86.00    4.00
   89.00   84.00   84.00    3.00
  117.00   83.00   83.00    4.00
  111.00   73.00   73.00    3.00
  135.00   86.00   85.00    3.00
   87.00   79.00   77.00    3.00
   96.00   89.00   83.00    4.00
  116.00   84.00   84.00    4.00
  108.00   83.00   83.00    4.00
   88.00   86.00   84.00    3.00
  108.00   92.00   87.00    4.00
   68.00   76.00   76.00    2.00
  135.00   89.00   87.00    5.00
   82.00   83.00   83.00    2.00
   96.00   80.00   78.00    2.00
  115.00   89.00   91.00    5.00
  122.00   92.00   86.00    2.00
  102.00   82.00   81.00    4.00
   97.00   83.00   82.00    3.00
  110.00   80.00   79.00    4.00
   69.00   85.00   83.00    3.00
  107.00   81.00   78.00    4.00
   91.00   89.00   85.00    3.00
  113.00   92.00   88.00    4.00
   99.00   78.00   76.00    3.00
   63.00   73.00   74.00    2.00
   93.00   79.00   80.00    3.00
   99.00   84.00   80.00    3.00
   94.00   81.00   80.00    3.00
   93.00   86.00   86.00    4.00
   72.00   77.00   78.00    2.00
   91.00   79.00   80.00    3.00
   98.00   86.00   85.00    4.00
  101.00   96.00   92.00    4.00
   82.00   82.00   82.00    2.00
   91.00   79.00   80.00    2.00
  104.00   92.00   91.00    4.00
   80.00   81.00   82.00    3.00
  124.00   82.00   82.00    3.00
  121.00   83.00   83.00    4.00
  125.00   84.00   84.00    4.00
  107.00   90.00   87.00    4.00
   58.00   80.00   77.00    2.00
   89.00   85.00   84.00    3.00
  134.00   84.00   84.00    4.00
  102.00   91.00   89.00    5.00
  100.00   78.00   78.00    3.00
  105.00   82.00   78.00    4.00
   78.00   77.00   78.00    1.00
   87.00   89.00   87.00    2.00
   75.00   82.00   85.00    4.00
  115.00   83.00   85.00    4.00
  101.00   87.00   85.00    3.00
   83.00   82.00   81.00    3.00
   83.00   70.00   70.00    2.00
   95.00   83.00   83.00    3.00
   98.00   74.00   73.00    2.00
   86.00   84.00   85.00    3.00
  125.00   85.00   85.00    4.00
   84.00   84.00   82.00    3.00
  103.00   80.00   81.00    3.00
   81.00   89.00   88.00    3.00
   83.00   79.00   78.00    2.00
  139.00   90.00   90.00    6.00
   84.00   84.00   86.00    2.00
  111.00   86.00   85.00    5.00
   98.00   78.00   78.00    2.00
   83.00   83.00   83.00    3.00
   87.00   82.00   81.00    2.00
   97.00   85.00   84.00    3.00
   84.00   93.00   90.00    3.00
   94.00   81.00   80.00    3.00
  104.00   84.00   81.00    4.00
   85.00   87.00   87.00    4.00
  108.00   83.00   82.00    4.00
   79.00   88.00   86.00    3.00
  108.00   85.00   87.00    3.00
   76.00   79.00   83.00    2.00
  132.00   90.00   90.00    5.00
  105.00   85.00   85.00    3.00
  102.00   81.00   81.00    3.00
   74.00   80.00   81.00    3.00
  120.00   86.00   86.00    4.00
   97.00   79.00   78.00    3.00
  112.00   95.00   93.00    4.00
  113.00   88.00   83.00    3.00
  120.00   93.00   89.00    4.00
   87.00   95.00   89.00    4.00
   97.00   78.00   81.00    4.00
   80.00   80.00   79.00    3.00
  130.00   76.00   76.00    4.00
  118.00   85.00   84.00    3.00
   93.00   86.00   86.00    3.00
  116.00   93.00   88.00    5.00
   92.00   78.00   78.00    3.00
  104.00   86.00   87.00    4.00
  108.00   77.00   80.00    3.00
  108.00   89.00   90.00    4.00
  100.00   80.00   80.00    3.00
  102.00   90.00   88.00    4.00
   96.00   82.00   84.00    4.00
   87.00   87.00   90.00    4.00
   75.00   80.00   79.00    2.00
  105.00   81.00   77.00    2.00
  105.00   89.00   88.00    4.00
   83.00   83.00   80.00    3.00
   91.00   77.00   75.00    3.00
   74.00   81.00   80.00    2.00
  115.00   89.00   89.00    4.00
   95.00   87.00   84.00    4.00
   97.00   88.00   88.00    4.00
  110.00   84.00   79.00    3.00
   96.00   81.00   77.00    3.00
  111.00   84.00   83.00    3.00
  113.00   85.00   81.00    4.00
   95.00   85.00   80.00    3.00
   91.00   86.00   84.00    3.00
   79.00   69.00   69.00    2.00
  116.00   89.00   88.00    4.00
  107.00   83.00   82.00    3.00
   82.00   84.00   83.00    3.00
  122.00   90.00   89.00    4.00
  115.00   92.00   88.00    4.00
   91.00   88.00   87.00    4.00
  111.00   85.00   82.00    4.00
   97.00   83.00   80.00    3.00
  104.00   90.00   86.00    3.00
  100.00   88.00   87.00    3.00
  112.00   91.00   89.00    4.00
  108.00   77.00   79.00    3.00
   97.00   82.00   82.00    3.00
   91.00   89.00   89.00    4.00
  122.00   90.00   87.00    5.00
   98.00   87.00   87.00    3.00
   94.00   89.00   86.00    3.00
  102.00   88.00   87.00    4.00
  118.00   89.00   86.00    4.00
  104.00   84.00   84.00    3.00
  114.00   82.00   82.00    3.00
  100.00   84.00   83.00    4.00
   89.00   80.00   78.00    3.00
  107.00   82.00   81.00    4.00
  105.00   87.00   84.00    3.00
   70.00   77.00   76.00    2.00
   94.00   84.00   82.00    3.00
