Optimism Influenc Involve Hope  Fundamen
   -1.38    3.50    2.08    4.55    1.52
    3.75    2.75    4.36    4.61     .97
    4.83    4.16    3.26    7.80    2.70
    4.71    4.28    3.57    5.22    1.94
    3.73    5.63    5.25    6.91    3.30
   -4.80    1.86    4.20    3.33    1.47
    -.68    3.42    -.93    2.73    1.09
    -.71    5.05    3.52    2.76    2.27
    -.60    4.64    2.85    5.54    2.73
    5.75    2.23    1.49    1.60    1.84
    -.20    2.10     .37    3.62    1.04
    3.46    5.35    3.64    4.17    2.26
    2.32    3.23    1.74    4.12    1.97
    4.78    5.95    3.13    6.82    2.79
    -.78    3.25    1.86    2.47    1.66
    3.70    3.69    3.04    2.46    2.67
     .80    5.72    3.44    4.71    1.73
    6.93    3.92    3.29    5.64    2.22
    1.87    5.36    3.89    5.07    1.57
    1.32    4.36    2.66    5.27    2.40
    1.71    5.37    3.44    5.63    1.31
    -.53    6.24    4.22    4.63    2.61
   -3.20    1.23     .17    1.97    1.01
    4.08    4.37    2.02    3.99    2.57
    -.36    3.52    2.95    1.94     .83
    5.93    5.89    6.34    4.76    1.68
    3.93    6.01    2.61    7.17    2.45
    3.98    2.31    3.25    3.82    1.05
    6.50    3.42    4.06    5.95    2.06
    2.62    4.17    1.60    4.89    1.38
    6.25    5.38    4.48    6.21    3.46
    1.19    3.72    4.68    5.24    2.29
    4.85    3.92    3.28    3.97    1.78
    9.54    6.73    4.02    5.14    2.39
     .47    6.11    4.24    6.15    2.35
    1.25    3.17    1.82    2.94    1.12
    7.54    4.61    2.30    5.79    1.52
    6.89    4.88    4.72    6.68    3.21
    4.36    7.42    3.87    6.60    1.47
    2.36    5.48    3.82    5.06    2.31
    2.12    5.37    2.94    4.68    1.69
    2.44    4.17    2.35    3.52    1.13
    6.34    2.46    4.22    5.08    2.16
    5.12    5.51    5.83    7.30    1.11
    -.28    1.46     .42    1.71     .80
     .49    5.78    3.62    4.84    1.80
    1.42    4.61    3.34    5.06    2.01
    4.04    4.81    4.60    4.81    1.96
    7.05    4.16    3.98    5.63    1.54
    8.07    5.67    3.26    5.47    1.02
    1.41    2.71    5.05    7.16    1.35
    9.57    4.91    3.64    5.75    3.52
    2.65    4.86    4.56    5.10    1.69
    4.43    4.11    4.58    7.40    2.77
    1.35    7.66    5.01    3.97    2.20
     .75    3.74    3.80    5.87    1.32
    5.02    3.41    3.01    2.93    1.33
   -2.59    5.21    3.68    3.52    1.23
    -.90    3.44    3.21    4.84    1.79
    -.74    5.91    2.62    3.12    2.54
    3.90    4.81    5.86    6.70    2.22
    3.44    5.10    4.24    3.97    2.33
    1.97    3.45    1.97    4.66    1.78
    3.77    3.46    2.09    1.22    1.03
    3.26    4.26    2.20    2.45    2.18
    5.11    5.41    5.67    3.24    2.35
    4.03    5.65    3.04    6.33    2.47
    -.73    4.15    3.62    4.31    1.90
    1.91    2.02    2.56    3.53    1.65
   -1.18    4.92    4.99    5.76    1.76
    1.30    7.74    4.24    5.24    2.46
    3.29    4.84    3.17    5.27    2.17
    -.16    5.13    2.94    4.96    2.33
    2.49    2.31    3.23    3.87    1.08
    3.75    5.40    3.05    6.27    2.28
    2.98    3.69    3.52    4.73    1.91
    7.91    4.28    4.71    5.89     .81
   -1.06    3.53     .86    4.77    1.30
   -3.09    5.37    3.54    6.52    2.83
    8.05    3.60    4.16    4.26    1.71
   -4.57    2.50    1.93    1.03    1.46
    -.69    5.39    4.64    5.75    2.41
    3.45    5.34    5.03    7.25    1.86
   -1.82    3.91    3.67    3.63    1.47
    2.23    4.01     .60    3.19    1.45
   -3.07    2.00    4.40    5.29     .99
    7.18    5.37    2.50    5.86    2.28
   -1.45    3.84    3.37    3.72    2.42
    3.09    3.43    5.03    4.79    2.16
    1.24    5.71    5.37    6.07    1.71
    6.03    5.45    5.41    7.89    3.31
    -.20    3.27    3.11    6.30    1.92
    3.34    5.60    4.32    5.51    2.23
    1.49    5.24    3.76    6.40    2.58
    1.47    4.86    3.09    5.68    2.03
     .16    4.87    2.56    3.46    1.34
   10.02    5.83    5.61    7.01    3.01
    -.64    4.03    3.89    4.75    1.57
     .74    2.72    4.99    6.82    2.37
    2.09    4.90    3.02    8.10    3.31
    6.62    2.82    2.20    2.66    1.40
   -1.90    3.41    2.39    4.91     .38
    2.20    5.72    6.02    7.96    2.75
    2.70    3.45    2.39    7.06    2.01
    2.52    7.17    6.14    7.06    3.23
    7.11    5.71    4.45    4.82    3.29
    2.44    4.57    1.65    4.57    2.79
   -3.24    3.56    2.12    2.44    1.56
    5.79    5.29    2.73    6.04    2.37
    8.48    5.19    4.67    6.96    3.05
    2.46    6.14    2.27    5.52    3.45
     .95    4.32    1.91    6.89    2.52
    1.01    4.75    5.23    5.26    1.62
    3.47    6.00    7.55    7.06    3.68
    1.21    4.58    4.51    4.73    3.06
    2.26    5.71    5.09    7.31    2.85
    5.17    6.31    4.95    5.49    2.60
    4.43    3.34    3.81    3.83    2.22
    -.63    6.97    4.01    5.59    3.06
    1.78    3.24    4.65    4.66    1.39
    2.87    3.28    3.19    3.42    1.06
    3.69    6.02    3.94    3.55    3.18
   -1.54    6.41    3.96    6.34    2.48
   -2.45    3.40    3.85    2.78    1.53
     .47    7.35    6.55    8.55    2.98
    4.97    8.07    6.01    7.55    2.70
   -2.97    2.54    3.24    4.07     .56
    4.54    6.79    5.62    6.58    2.67
    3.02    3.29    3.87    2.54    2.01
    2.35    5.03    2.65    6.15    1.84
    7.96    5.00    4.45    5.96    2.79
   -2.67    4.62    2.61    3.37    1.14
   -1.59    3.79    1.52    5.92    1.82
    3.26    5.47    4.67    6.33    1.48
    7.15    4.72    4.33    6.21    2.12
    1.52    5.51    5.01    5.68    1.84
    3.75    3.99    5.95    5.28    2.86
    2.77     .97    3.18    5.12    1.24
   -3.96    4.45    5.11    4.42    2.85
    1.13    5.69    4.56    7.44    2.26
    -.92    3.73    2.81    4.73    2.23
    -.03    2.91    3.74    5.05    1.85
    5.12    4.34    3.03    4.46    1.31
    -.28    5.40    4.07    5.96    1.81
   -1.64    4.65    2.55    4.68    1.74
    4.89    4.83    3.13    4.46    2.13
    -.84    2.75    2.13    5.03    1.70
    4.34    5.09    3.48    4.92    2.31
    -.41    3.56    5.13    6.62    2.51
    2.31    7.03    2.28    3.86    2.53
    6.29    5.34    4.25    5.57    2.56
    6.64    5.63    3.56    4.66    2.63
    3.40    5.85    4.21    4.38    2.82
