     2.000     10.000     27.410     44.216     52.593     44.520     53.890      1.000      2.000      8.000      4.400      8.500      5.370     40.907      6.218     49.080      2.525      1.796      0.690      6.827      0.592
     2.000      6.000     56.330     39.883     40.811     33.368     41.877      0.000          *      4.400      2.500      3.000      0.000     36.593      6.221     39.368      2.526      0.938      0.764      2.743      0.592
     3.000      8.000     56.330     46.381     40.222     40.944     54.000      3.000          *      3.250      5.000      3.500      3.500     47.243      6.221     45.326      2.526      2.391      0.764      3.962      0.592
     4.000     13.000     70.600     39.883     55.980     55.672     56.402      4.000      5.000      5.500      4.620      5.500      4.830     64.789      6.218     52.057      2.525      3.356      0.690      5.528      0.592
     2.000     10.000     56.330     52.744     47.880     44.804     41.767      3.000      5.000      8.370      3.500      8.000      6.290     46.140      6.218     48.067      2.525      3.024      0.690      7.024      0.592
     3.000      9.000     70.600     42.320     61.944     53.527     47.009      3.000      1.000      8.330      5.000      7.000      7.670     53.128      6.218     51.785      2.525      2.393      0.690      7.355      0.592
     3.000     10.000     27.410     63.167     56.053     64.679     62.628      3.000      5.000      6.000      4.920      3.110      7.500     49.002      6.218     59.881      2.525      3.066      0.690      5.932      0.592
     4.000     11.000     70.600     58.971     40.738     42.088     50.396      2.000      5.000      6.750      6.430      7.200      6.830     61.260      6.218     49.149      2.525      2.791      0.690      6.953      0.592
     4.000     10.000     61.320     52.608     60.913     62.390     54.000      2.000      2.000      8.670      3.250      5.850      9.000     59.755      6.218     57.403      2.525      2.358      0.690      7.424      0.592
     3.000      9.000     66.090     59.918     67.688     51.238     39.145      3.000      5.000      9.800      7.250      8.000      9.000     53.794      6.218     55.493      2.525      3.291      0.690      8.712      0.592
     1.000      7.000     15.570     44.622     36.172     40.515     29.098      2.000      4.000      2.000          *      4.000      1.670     25.835      6.219     37.965      2.529      1.919      0.690      2.664      0.627
     2.000     10.000     66.180     35.687     47.880     49.238     51.269      0.000      3.000      1.600      2.700      3.500      4.000     45.742      6.218     45.557      2.525      1.331      0.690      3.212      0.592
     3.000      7.000     49.700     41.779     53.771     55.527     50.396      1.000      2.000      8.000      5.140      7.100      7.330     46.074      6.218     50.367      2.525      1.867      0.690      7.168      0.592
     2.000          *     66.180     48.412     45.450     62.390     48.757      1.000      6.000      1.800      1.500      3.250      3.780     45.681      6.902     50.029      2.528      2.242      0.690      3.121      0.592
     5.000     13.000     66.090     58.971     63.122     53.669     53.890      4.000      6.000      8.620      8.370      7.170      8.170     71.587      6.218     58.000      2.525      3.880      0.690      8.265      0.592
     3.000      8.000     32.450     46.381     41.990     45.091     32.047          *          *      0.000          *          *          *     41.332      6.233     41.242      2.542      1.302      0.993      1.034      0.937
     3.000     11.000     56.330     44.350     43.241     42.946     43.405      2.000      3.000      6.500      7.250      5.750      7.000     52.094      6.218     44.568      2.525      2.294      0.690      6.600      0.592
     2.000      8.000     27.410     43.944     40.811     51.382     44.388      5.000      3.000      5.400      3.000      1.500      3.000     36.916      6.218     44.753      2.525      2.925      0.690      3.782      0.592
