44.216 52.593 44.52 53.89 27.41 1 1 2 8 4.4 8.5 5.37 0 10 2
39.883 40.811 33.368 41.877 56.33 0 1 -999 4.4 2.5 3 0 1 6 2
46.381 40.222 40.944 54 56.33 3 1 -999 3.25 5 3.5 3.5 0 8 3
39.883 55.98 55.672 56.402 70.6 4 1 5 5.5 4.62 5.5 4.83 1 13 4
52.744 47.88 44.804 41.767 56.33 3 1 5 8.37 3.5 8 6.29 0 10 2
42.32 61.944 53.527 47.009 70.6 3 1 1 8.33 5 7 7.67 0 9 3
63.167 56.053 64.679 62.628 27.41 3 0 5 6 4.92 3.11 7.5 0 10 3
58.971 40.738 42.088 50.396 70.6 2 1 5 6.75 6.43 7.2 6.83 0 11 4
52.608 60.913 62.39 54 61.32 2 1 2 8.67 3.25 5.85 9 1 10 4
59.918 67.688 51.238 39.145 66.09 3 1 5 9.8 7.25 8 9 0 9 3
44.622 36.172 40.515 29.098 15.57 2 1 4 2 -999 4 1.67 0 7 1
35.687 47.88 49.238 51.269 66.18 0 1 3 1.6 2.7 3.5 4 1 10 2
41.779 53.771 55.527 50.396 49.7 1 1 2 8 5.14 7.1 7.33 1 7 3
48.412 45.45 62.39 48.757 66.18 1 1 6 1.8 1.5 3.25 3.78 0 -999 2
58.971 63.122 53.669 53.89 66.09 4 1 6 8.62 8.37 7.17 8.17 0 13 5
46.381 41.99 45.091 32.047 32.45 -999 0 -999 0 -999 -999  0 8 3
44.35 43.241 42.946 43.405 56.33 2 1 3 6.5 7.25 5.75 7 0 11 3
43.944 40.811 51.382 44.388 27.41 5 1 3 5.4 3 1.5 3 0 8 2
48.412 59.662 60.103 55.638 66.09 4 1 6 6.78 5.5 5.25 6.75 1 11 5
43.267 39.633 47.093 34.777 56.33 3 0 3 8.75 5 6.87 8 0 8 3
52.473 55.98 53.527 44.17 49.7 7 1 6 7.62 5.83 5.75 4.86 0 11 2
37.718 47.807 38.371 46.026 56.33 2 1 5 3.33 2 2 0.25 1 10 3
65.334 60.692 62.534 66.013 56.33 6 1 7 9.5 7.5 8 8 0 8 4
67.499 60.766 55.672 60.881 81.87 4 1 5 6.86 5.14 8.25 6 1 15 6
63.303 60.84 64.679 60.881 70.6 1 1 2 4.6 3 6.33 7 1 10 5
46.246 59.662 46.949 48.866 56.33 5 1 3 7.5 5 5 6.5 0 10 2
67.499 50.163 50.953 64.702 61.32 1 1 -999 4.25 1.75 1.67 6.43 1 10 2
45.163 50.31 55.814 47.009 70.6 1 1 1 3.5 4 5  1 12 5
65.334 63.122 66.966 69.508 66.09 3 1 6 8 5.05 8 8 1 11 4
