     0.000      2.000     10.000     27.410     44.216     52.593     44.520     53.890      1.000      2.000      8.000      4.400      8.500      5.370    -10.116      6.272     -2.092      2.520     -0.766      0.686      0.709      0.592
     0.000      2.000      6.000     56.330     39.883     40.811     33.368     41.877      0.000          *      4.400      2.500      3.000      0.000    -14.517      6.275    -11.779      2.521     -1.645      0.760     -3.375      0.592
     0.000      3.000      8.000     56.330     46.381     40.222     40.944     54.000      3.000          *      3.250      5.000      3.500      3.500     -3.954      6.275     -5.848      2.521     -0.195      0.760     -2.160      0.592
     0.000      4.000     13.000     70.600     39.883     55.980     55.672     56.402      4.000      5.000      5.500      4.620      5.500      4.830     13.733      6.272      0.857      2.520      0.800      0.686     -0.592      0.592
     0.000      2.000     10.000     56.330     52.744     47.880     44.804     41.767      3.000      5.000      8.370      3.500      8.000      6.290     -4.618      6.272     -3.090      2.520      0.453      0.686      0.908      0.592
     0.000      3.000      9.000     70.600     42.320     61.944     53.527     47.009      3.000      1.000      8.330      5.000      7.000      7.670      1.985      6.272      0.580      2.520     -0.168      0.686      1.237      0.592
     1.000      3.000     10.000     27.410     63.167     56.053     64.679     62.628      3.000      5.000      6.000      4.920      3.110      7.500     -3.855      6.272      8.291      2.520      0.644      0.686     -0.203      0.592
     0.000      4.000     11.000     70.600     58.971     40.738     42.088     50.396      2.000      5.000      6.750      6.430      7.200      6.830     10.041      6.272     -2.069      2.520      0.239      0.686      0.832      0.592
     0.000      4.000     10.000     61.320     52.608     60.913     62.390     54.000      2.000      2.000      8.670      3.250      5.850      9.000      8.287      6.272      6.148      2.520     -0.186      0.686      1.302      0.592
     0.000      3.000      9.000     66.090     59.918     67.688     51.238     39.145      3.000      5.000      9.800      7.250      8.000      9.000      2.667      6.272      4.276      2.520      0.734      0.686      2.594      0.592
     0.000      1.000      7.000     15.570     44.622     36.172     40.515     29.098      2.000      4.000      2.000          *      4.000      1.670    -25.009      6.272    -13.123      2.523     -0.675      0.686     -3.449      0.627
     0.000      2.000     10.000     66.180     35.687     47.880     49.238     51.269      0.000      3.000      1.600      2.700      3.500      4.000     -5.076      6.272     -5.608      2.520     -1.221      0.686     -2.906      0.592
     0.000      3.000      7.000     49.700     41.779     53.771     55.527     50.396      1.000      2.000      8.000      5.140      7.100      7.330     -5.332      6.272     -0.828      2.520     -0.691      0.686      1.049      0.592
     0.000      2.000          *     66.180     48.412     45.450     62.390     48.757      1.000      6.000      1.800      1.500      3.250      3.780     -4.982      7.001     -1.126      2.522     -0.311      0.686     -2.995      0.592
     0.000      5.000     13.000     66.090     58.971     63.122     53.669     53.890      4.000      6.000      8.620      8.370      7.170      8.170     20.194      6.272      6.742      2.520      1.333      0.686      2.143      0.592
     1.000      3.000      8.000     32.450     46.381     41.990     45.091     32.047          *          *      0.000          *          *          *    -11.516      6.291    -10.270      2.537     -1.048      0.982     -5.089      0.937
     0.000      3.000     11.000     56.330     44.350     43.241     42.946     43.405      2.000      3.000      6.500      7.250      5.750      7.000      1.094      6.272     -6.610      2.520     -0.270      0.686      0.481      0.592
     0.000      2.000      8.000     27.410     43.944     40.811     51.382     44.388      5.000      3.000      5.400      3.000      1.500      3.000    -14.077      6.272     -6.371      2.520      0.329      0.686     -2.335      0.592
     0.000      5.000     11.000     66.090     48.412     59.662     60.103     55.638      4.000      6.000      6.780      5.500      5.250      6.750     16.219      6.272      4.694      2.520      1.132      0.686      0.413      0.592
     1.000      3.000      8.000     56.330     43.267     39.633     47.093     34.777      3.000      3.000      8.750      5.000      6.870      8.000     -5.093      6.272     -8.587      2.520      0.207      0.686      1.346      0.592
     0.000      2.000     11.000     49.700     52.473     55.980     53.527     44.170      7.000      6.000      7.620      5.830      5.750      4.860     -2.852      6.272      0.627      2.520      1.888      0.686      0.265      0.592
     0.000      3.000     10.000     56.330     37.718     47.807     38.371     46.026      2.000      5.000      3.330      2.000      2.000      0.250     -1.668      6.272     -8.271      2.520     -0.310      0.686     -3.755      0.592
     0.000      4.000      8.000     56.330     65.334     60.692     62.534     66.013      6.000      7.000      9.500      7.500      8.000      8.000      6.841      6.272     11.617      2.520      2.149      0.686      2.537      0.592
