6044 1 2 2 1 6 6 66.88 62.27 54.11 59.43 0.169760002563916
6044 2 2 2 2 6 7 61.04 62.56 65.52 57.64 -0.855329385371365
6044 2 2 3 1 1 3 58.24 60.3 54.57 60.87 0.3549084218122
6044 3 2 3 3 3 4 42.26 49.03 48.91 37.03 -0.649680644393191
6044 2 2 2 1 2 0 -99 -99 -99 -99 -0.309231288340451
6044 3 3 3 3 1 2 44.91 40.76 43.86 54.6 0.186675359418901
6044 4 1 3 3 3 3 50.63 58.49 59.52 51.76 -0.157253629896794
6044 3 3 3 3 1 3 42.34 40.88 41.01 43.31 -0.155112423281217
6044 2 1 2 2 4 2 48.74 55.93 54.39 50.63 0.760381101629364
6044 2 3 2 2 3 8 64.47 59.21 70.6 66.91 0.33187567086557
6044 3 3 2 2 3 2 53.03 42.25 48.48 41.57 -0.344451331062571
6044 4 2 4 4 1 1 52.06 49.13 61.49 58.97 -0.02723050617677
6044 3 2 4 2 1 0 54.26 44.93 47.75 41.65 -0.250852480479682
6044 2 3 2 2 3 4 49.92 51.04 44.25 41.48 0.0055950523447695
6044 1 2 2 1 6 6 64.96 52.55 56.6 50.39 0.763927205914333
6044 3 3 3 3 1 4 51.7 51.93 38.3 44.42 0.174317852049868
6044 3 2 3 3 2 0 -99 -99 -99 -99 -0.0760122866829387
6044 3 2 3 2 4 6 65.31 60.92 58 67.39 -0.181109319077407
6044 2 1 2 1 3 3 61.92 65.09 58.22 60.11 0.0991939029276578
6044 3 4 2 1 1 0 56.79 41.98 56.41 57.59 -0.855329385371365
6044 1 1 1 1 3 7 67.02 70.11 68.53 68.47 -0.458989449273072
6044 3 2 3 3 4 2 54.79 56.73 45.78 45.34 0.202197749428634
6053 1 2 2 1 5 6 63.63 46.92 50 67.38 0.261309571229312
6053 2 2 2 2 2 4 54.83 52.97 49.88 48.49 1.50022415022004
6053 2 1 2 2 2 5 60.55 54.33 47.18 53.44 -0.784870436263608
6053 2 1 1 1 1 3 57.8 61.77 57.3 59.12 0.685746889818953
6053 3 2 3 3 -99 3 44.77 51.08 39.23 35.22 1.26299873631439
