   -1.70    6.00    -.26    -.47   29.00    9.00     .35     .40
    2.19   10.00    1.49    1.51    1.00    4.00     .51     .71
     .96    6.00    -.63   -1.50   27.00   22.00     .01   -1.71
     .93    7.00    1.24     .00   23.00   15.00    1.49    -.82
    1.66    6.00    -.57     .45   17.00   14.00    -.39     .30
    1.62    7.00   -1.80    -.53   24.00   15.00   -1.60    -.13
    -.35    8.00     .30     .19   24.00   12.00     .06     .99
     .39    7.00    -.95     .85   32.00   13.00    -.20     .21
    -.57    8.00     .17    -.36   10.00    3.00    -.05   -1.42
     .01    6.00     .04     .20   17.00    6.00   -1.22     .40
    -.89    7.00     .20     .20   26.00   15.00     .11    -.30
    -.04    9.00     .14     .29   22.00    3.00     .28     .20
   -1.77    6.00     .39    -.65    1.00    8.00    -.48    -.52
    -.71    8.00     .11     .19   13.00    4.00     .02     .06
    -.40    7.00     .13    -.75   35.00    3.00    -.77    -.22
    -.41    7.00    -.97    -.19   29.00   -1.00    -.95     .08
     .91    8.00   -1.11     .58   21.00    4.00   -1.09     .69
     .64    6.00    -.45     .71   26.00    5.00     .07     .44
     .45   10.00     .85     .27    7.00   -6.00    1.01     .27
   -1.12    7.00   -1.15     .83   28.00    5.00    -.29     .85
    -.94    8.00    -.10    -.81   23.00   11.00     .20    -.08
    -.96    7.00    1.50     .17   21.00  -13.00    1.86    1.07
    -.30   10.00   -1.16   -1.98   47.00   47.00   -1.30   -1.73
    -.68    7.00     .32   -1.67   19.00   23.00     .08   -1.25
    -.82    6.00    -.04    -.84   22.00    6.00    -.91    -.94
     .46    8.00    1.51     .57     .00   -1.00    1.26     .60
    1.04    7.00    -.11    -.80   14.00    8.00    -.33    -.19
    1.34    8.00     .93     .12   17.00    2.00    -.45     .14
    -.41    8.00    -.45     .13   24.00   15.00    1.07     .50
     .88    8.00    -.04    -.55   24.00   16.00     .18    -.79
    -.56    7.00     .14    -.22   11.00   16.00     .81     .75
    -.37    7.00   -1.93    -.57   22.00    1.00   -1.43   -1.69
    -.45    6.00     .86    1.28   10.00   -4.00     .49    1.52
     .23    7.00    -.07     .92    6.00    5.00    -.05     .14
