1																																					
-.026	1																																				
-.014	.099	1																																			
.048	.125	.272	1																																		
.003	.176	.325	.224	1																																	
-.031	.210	.219	.415	.254	1																																
.008	.064	.227	.127	.167	.126	1																															
.099	.089	.145	.257	.121	.214	.320	1																														
.020	.183	.190	.137	.292	.163	.362	.251	1																													
.036	.164	.153	.242	.169	.355	.232	.472	.267	1																												
.040	.063	.185	.118	.133	.108	.257	.151	.193	.137	1																											
.119	.086	.135	.230	.139	.210	.170	.316	.154	.278	.361	1																										
.062	.200	.175	.147	.253	.179	.208	.166	.341	.204	.381	.313	1																									
.086	.155	.139	.232	.163	.321	.157	.296	.165	.391	.255	.533	.324	1																								
-.190	-.001	.214	.069	.213	.051	.159	.049	.145	.055	.107	.040	.118	.045	1																							
-.069	.064	.185	.159	.171	.121	.113	.100	.126	.105	.094	.094	.118	.093	.387	1																						
-.092	.065	.156	.110	.169	.083	.091	.064	.107	.080	.074	.043	.106	.063	.319	.429	1																					
-.109	.084	.241	.131	.258	.120	.161	.083	.178	.096	.127	.069	.142	.078	.546	.400	.349	1																				
-.129	-.021	.139	.038	.123	.019	.258	.088	.233	.074	.148	.069	.151	.063	.378	.219	.192	.305	1																			
-.026	.077	.141	.120	.154	.090	.244	.180	.226	.147	.144	.137	.171	.127	.236	.268	.190	.229	.458	1																		
-.092	.063	.133	.106	.147	.087	.204	.154	.204	.135	.130	.117	.159	.113	.224	.208	.276	.209	.395	.528	1																	
-.078	.076	.147	.083	.153	.076	.286	.135	.288	.126	.155	.109	.196	.114	.287	.201	.175	.312	.566	.454	.406	1																
-.149	-.013	.110	.036	.099	.017	.174	.059	.150	.051	.235	.081	.220	.075	.318	.171	.172	.246	.416	.256	.233	.320	1															
-.051	.066	.122	.109	.122	.065	.179	.125	.167	.119	.221	.168	.241	.148	.208	.202	.165	.193	.302	.318	.257	.264	.518	1														
-.099	.071	.119	.099	.116	.067	.157	.111	.154	.102	.197	.136	.204	.122	.208	.183	.227	.187	.279	.278	.321	.253	.462	.636	1													
-.058	.076	.129	.070	.125	.069	.207	.114	.208	.106	.269	.141	.294	.139	.241	.168	.160	.253	.350	.263	.233	.357	.607	.512	.467	1												
.095	.450	.140	.243	.217	.308	.089	.188	.202	.260	.102	.186	.237	.240	-.029	.115	.085	.077	-.021	.134	.104	.079	-.043	.109	.099	.070	1											
-.024	.491	.142	.209	.213	.285	.098	.160	.199	.235	.102	.159	.232	.211	-.013	.097	.091	.096	-.013	.117	.115	.091	-.020	.111	.119	.096	.719	1										
-.087	.430	.131	.203	.186	.282	.074	.148	.172	.232	.086	.148	.202	.210	-.001	.103	.101	.090	-.002	.122	.124	.081	-.011	.103	.116	.082	.718	.738	1									
-.063	.444	.141	.228	.208	.283	.081	.165	.197	.244	.078	.152	.215	.209	.004	.125	.104	.097	.002	.137	.123	.090	-.005	.124	.122	.082	.733	.698	.733	1								
.083	.455	.146	.252	.214	.307	.115	.227	.226	.293	.117	.206	.253	.267	-.024	.115	.084	.091	-.014	.149	.123	.097	-.042	.124	.109	.078	.811	.703	.687	.712	1							
-.026	.502	.154	.222	.213	.301	.119	.199	.223	.267	.116	.182	.245	.245	-.009	.098	.092	.103	-.007	.128	.124	.107	-.020	.115	.119	.099	.706	.885	.714	.687	.764	1						
-.131	.468	.135	.204	.187	.303	.091	.174	.195	.261	.083	.154	.214	.225	.007	.103	.103	.093	.004	.124	.136	.095	-.010	.110	.127	.089	.678	.737	.749	.694	.746	.798	1					
-.074	.453	.133	.221	.199	.287	.098	.192	.206	.263	.081	.161	.227	.224	.009	.122	.099	.101	.015	.148	.135	.100	-.005	.129	.122	.089	.694	.674	.694	.762	.764	.734	.778	1				
.101	.444	.146	.253	.212	.302	.104	.228	.216	.298	.122	.243	.258	.297	-.040	.108	.078	.081	-.025	.140	.112	.086	-.048	.131	.118	.079	.751	.669	.658	.682	.828	.728	.709	.728	1			
-.051	.510	.149	.221	.214	.303	.121	.197	.224	.274	.120	.195	.259	.259	.005	.102	.093	.115	.006	.135	.128	.118	-.015	.117	.127	.106	.680	.843	.693	.671	.739	.928	.784	.720	.752	1		
-.148	.462	.128	.200	.182	.303	.086	.167	.186	.261	.096	.177	.226	.253	.007	.093	.096	.092	-.002	.117	.129	.092	-.018	.113	.123	.093	.650	.710	.720	.672	.701	.761	.817	.722	.735	.797	1	
-.081	.461	.130	.216	.203	.287	.089	.174	.204	.261	.101	.181	.240	.243	.017	.119	.086	.106	.008	.135	.129	.092	-.011	.124	.124	.095	.676	.662	.674	.729	.725	.711	.735	.792	.767	.742	.782	1
.500	.80162	.808	.735	.758	.895	.775	.685	.703	.790	.787	.696	.702	.802	.61591	.64938	.63769	.68082	.63102	.62868	.60545	.68751	.63499	.63653	.61533	.67722	10.16390	10.39320	10.20262	10.16744	10.05648	10.22762	10.22595	10.11294	10.01314	10.20092	10.11929	10.05043
0.51	-.0464	3.09	3.28	2.85	2.74	2.99	3.18	2.85	2.89	3.01	3.19	2.89	2.93	3.2754	3.3207	3.3113	3.2139	3.2439	3.2474	3.2373	3.1069	3.3332	3.3350	3.3222	3.2060	51.1915	51.4839	51.2762	51.1141	50.8659	51.1179	50.8634	50.7195	50.6590	50.8879	50.6554	50.7164
																																					
