0.27182	3.20257	9.91746	51.69374	51.98427	52.54498	51.88320	51.65310	1.73059	3.38102	6.24984	5.70269	5.95195	6.41753
0.44510	1.28368	2.52335	21.59878	10.29049	10.38005	10.31761	10.18230	1.13111	1.90334	2.67376	2.74699	2.68216	2.87277
1.00000													
-0.16853	1.00000												
-0.27762	0.52560	1.00000											
-0.24150	0.62863	0.52403	1.00000										
-0.20393	0.38560	0.28849	0.33853	1.00000									
-0.16074	0.43029	0.33452	0.36226	0.71439	1.00000								
-0.23099	0.38362	0.29280	0.32159	0.71749	0.71931	1.00000							
-0.21013	0.39634	0.30777	0.34578	0.73070	0.67526	0.72795	1.00000						
-0.00317	0.16811	0.07504	0.10541	0.22562	0.27069	0.22062	0.16758	1.00000					
-0.05590	0.20831	0.15526	0.17333	0.21917	0.28559	0.20590	0.20677	0.27132	1.00000				
-0.09785	0.33400	0.24275	0.25965	0.52404	0.56549	0.45008	0.49062	0.20427	0.31310	1.00000			
-0.07098	0.28513	0.22023	0.21808	0.41829	0.58652	0.41547	0.40947	0.17333	0.28891	0.76065	1.00000		
-0.08320	0.29354	0.20927	0.23125	0.48378	0.57600	0.49281	0.47602	0.19246	0.28175	0.80300	0.75858	1.00000	
-0.11082	0.32813	0.25254	0.26457	0.51942	0.56657	0.48465	0.51873	0.18076	0.28393	0.85105	0.74494	0.79470	1.00000

