2	-.563	65.468	59.514	64.679	67.761	3	3	3	2
1	.123	50.577	47.954	49.094	46.9	2	3	2	2
2	.229	59.105	42.799	49.094	47.883	2	2	3	2
1	.687	44.35	49.205	35.512	57.276	3	3	3	3
2	.633	63.303	52.519	51.811	52.143	2	3	2	3
1	.992	31.761	44.493	39.515	38.272	3	3	3	3
2	-.282	40.018	39.927	46.949	45.153	3	3	3	3
2	1.572	46.11	47.807	51.096	41.767	3	3	3	2
1	-.714	61.136	57.305	55.672	46.9	3	3	3	3
1	1.224	40.018	51.341	44.52	48.647	4	3	2	2
1	.964	48.412	58.41	55.814	47.119	4	4	4	4
1	1.27	56.94	59.514	66.966	62.519	2	3	4	4
2	-.406	56.805	52.593	51.238	48.757	3	4	3	3
1	-.867	37.987	34.994	31.223	36.524	2	1	2	3
2	-.58	35.957	32.712	42.517	37.398	3	3	3	3
2	-.241	67.499	67.761	55.672	64.266	3	4	3	4
2	.373	56.805	52.519	44.52	57.276	4	4	3	3
1	.967	67.499	68.866	64.535	64.485	3	2	2	2
1	-.011	63.303	63.122	57.816	47.883	4	4	4	4
2	-.428	48.412	49.059	50.953	46.9	4	3	3	3
1	-.196	37.853	45.229	28.934	30.518	3	3	3	2
1	-.163	40.018	39.706	55.956	47.009	3	3	3	3
1	-.168	31.626	38.308	40.086	45.371	1	4	4	3
1	-.142	45.298	45.745	47.522	55.528	1	4	2	3
1	.122	41.914	39.56	37.799	30.518	3	3	2	2
1	-1.665	33.657	38.897	43.662	38.709	1	1	4	1
1	1.799	59.105	55.98	53.956	41.877	4	4	2	4
2	-1.101	65.334	66.657	62.248	53.89	3	3	3	3
1	-1.065	45.84	59.514	55.672	58.149	3	3	3	2
2	-.772	46.246	58.483	66.966	44.498	3	3	2	3
1	-.728	44.216	43.978	53.527	54	2	3	1	1
2	1.304	52.608	54.875	48.951	44.279	4	4	4	4
2	-.219	58.971	49.5	66.966	61.645	3	4	4	4
1	-.687	50.577	37.351	50.953	45.262	3	3	3	3
1	-.911	52.744	61.871	60.39	64.375	3	3	3	2
2	-.394	44.216	41.99	42.231	35.651	3	2	3	3
2	.15	42.049	39.56	49.094	36.634	4	1	2	1
1	-.381	52.744	48.911	53.24	59.132	3	2	3	3
2	.126	33.926	42.357	38.228	46.026	3	4	3	4
1	.424	46.11	36.467	40.515	35.76	3	3	3	3
2	-.242	54.775	45.597	53.527	62.519	4	4	4	4
2	-1.582	40.018	38.897	47.093	33.903	4	4	4	1
2	-.565	59.105	44.272	55.672	64.266	4	3	3	3
2	-.627	52.608	65.479	71.542	55.966	3	3	3	3
1	.533	50.577	51.341	51.238	52.251	3	2	1	3
1	-.167	67.499	64.522	75.973	66.013	3	3	4	4
1	1.312	64.25	62.165	57.959	60.77	4	3	3	2
2	-.4	35.822	45.524	37.657	27.569	3	3	3	3
2	-.387	48.277	50.531	55.814	51.379	3	3	3	3
2	-.74	44.216	43.094	44.52	59.023	4	4	3	2
2	-.485	39.883	44.125	48.665	51.16	4	4	4	4
1	-.19	54.638	56.274	53.669	53.781	4	3	2	3
2	.458	56.669	62.018	57.959	45.153	4	4	3	4
2	-1.086	46.246	34.847	46.807	38.272	2	3	3	4
2	.58	54.909	54.802	56.243	53.126	3	3	3	3
1	1.085	57.075	59.588	57.959	57.276	4	4	3	4
1	-.624	59.105	54.875	62.39	48.647	3	3	4	3
1	.401	33.791	41.915	53.24	55.638	2	4	2	1
2	-.917	42.455	58.337	37.657	33.794	3	3	2	2
1	-.633	31.49	36.099	37.799	44.279	2	3	1	1
2	-1.004	39.883	44.345	44.52	46.136	4	3	4	4
2	-1.454	35.551	38.676	44.662	42.641	2	4	1	4
2	-.062	46.11	44.272	49.238	48.647	1	3	2	2
1	.148	61.272	52.519	53.383	55.638	3	3	3	3
1	-.207	48.14	47.88	37.799	43.624	4	4	3	4
1	-.061	37.718	46.702	44.52	33.139	1	3	3	2
1	.563	54.775	54.065	55.672	59.46	3	3	3	3
2	-.869	46.381	53.771	46.664	44.498	2	2	2	2
1	-.671	46.516	51.635	43.662	43.515	3	3	2	4
1	-.812	46.516	41.99	46.807	47.774	3	3	2	2
1	.137	48.412	51.414	62.534	46.136	1	2	2	4
2	-.962	44.079	40.885	40.086	52.143	3	3	3	2
2	-.915	39.883	43.241	53.527	46.136	3	3	2	2
2	1.008	67.499	68.866	64.679	60.77	3	4	3	4
1	1.004	61.136	62.092	51.096	43.515	3	3	3	3
2	-.96	50.577	40.885	49.094	50.504	1	3	4	3
1	-.488	39.883	44.493	46.52	41.767	4	1	1	1
1	-.286	50.577	43.462	64.964	59.132	4	4	3	3
2	.979	54.909	65.405	60.103	57.385	2	3	3	3
2	1.012	63.167	59.588	60.39	54	3	3	2	3
1	.2	48.546	40.075	37.657	36.415	4	4	4	4
2	1.002	67.499	64.227	71.542	62.519	2	3	1	2
2	1.006	65.334	64.227	67.108	69.508	4	3	3	3
2	-.546	36.769	42.063	36.084	28.771	4	3	4	2
1	-.142	50.442	49.205	51.382	50.504	3	3	3	2
1	-.135	29.324	45.524	49.238	38.272	3	3	3	3
1	-.309	29.459	56.053	46.807	33.139	3	3	2	3
1	.108	63.303	67.688	69.253	59.242	3	3	2	2
1	-.291	33.52	39.927	40.515	41.33	2	2	2	3
1	-.603	42.049	44.272	35.512	48.647	1	1	2	2
1	-.174	42.049	33.816	35.655	46.9	3	3	2	2
2	-.261	54.638	46.554	44.52	50.504	3	3	2	3
2	.685	63.303	58.483	55.956	55.747	3	4	3	3
2	1.009	48.277	64.153	60.39	50.504	2	3	3	3
2	-.289	37.718	50.236	51.096	34.668	2	3	3	2
1	-1.058	50.442	45.892	53.527	53.89	2	2	2	3
1	.513	59.105	60.766	62.39	64.266	1	3	3	3
1	-1.191	50.442	53.771	51.382	44.498	2	4	3	3
2	-1.167	34.604	44.714	48.809	45.262	3	3	3	3
1	.365	52.879	49.059	55.814	51.379	4	4	3	3
2	-.164	61.136	51.268	53.383	54.655	2	2	2	2
1	.894	48.277	59.588	55.385	54.655	4	3	3	3
1	1.002	63.709	57.232	53.383	50.396	3	3	4	3
1	1.301	48.953	56.348	55.527	51.379	2	3	3	2
