     .00     .0072
     .00     .0054
     .00     .0062
     .00     .0046
     .00     .0055
     .00     .0051
     .00     .0070
     .00     .0054
     .00     .0071
     .00     .0066
     .00     .0048
     .00     .0058
     .00     .0076
     .00     .0059
     .00     .0057
     .00     .0074
     .00     .0034
     .00     .0065
     .00     .0058
     .00     .0080
    1.00     .0054
    1.00     .0033
    1.00     .0044
    1.00     .0060
    1.00     .0040
    1.00     .0061
    1.00     .0044
    1.00     .0036
    1.00     .0051
    1.00     .0052
    1.00     .0054
    1.00     .0055
    1.00     .0050
    1.00     .0053
    1.00     .0038
    1.00     .0042
    1.00     .0056
    1.00     .0060
    1.00     .0044
    1.00     .0050
     .00    1.0072
     .00    1.0061
     .00    1.0066
     .00    1.0044
     .00    1.0052
     .00    1.0030
     .00    1.0035
     .00    1.0045
     .00    1.0059
     .00    1.0061
     .00    1.0062
     .00    1.0065
     .00    1.0063
     .00    1.0055
     .00    1.0041
     .00    1.0042
     .00    1.0051
     .00    1.0078
     .00    1.0069
     .00    1.0042
    1.00    1.0056
    1.00    1.0040
    1.00    1.0039
    1.00    1.0037
    1.00    1.0047
    1.00    1.0043
    1.00    1.0046
    1.00    1.0045
    1.00    1.0050
    1.00    1.0033
    1.00    1.0071
    1.00    1.0054
    1.00    1.0027
    1.00    1.0038
    1.00    1.0052
    1.00    1.0054
    1.00    1.0051
    1.00    1.0041
    1.00    1.0052
    1.00    1.0040
