    1.00 80   47.33
    2.00 92   50.00
    3.00 87   56.67
    4.00111   56.00
    5.00107   59.33
    6.00 97   55.33
    7.00117   52.67
    8.00100   53.33
    9.00117   54.00
   10.00102   54.00
   11.00109   56.00
   12.00 85   28.67
   13.00107   68.67
   14.00116   50.67
   15.00102   63.33
   16.00122   66.00
   17.00141   82.00
   18.00 93   32.00
   19.00 82   42.67
   20.00 89   48.67
   21.00 96   50.00
   22.00 90   48.67
   23.00 96   46.00
   24.00145   86.00
   25.00 92   46.00
   26.00120   66.00
   27.00111   48.00
   28.00118   52.00
   29.00 88   47.33
   30.00106   55.33
