SES	Ability   TV	   Achieve   Abil_3
-.20	 	96	3	   41.00	    1.00
 1.15	107	4	   55.00	    3.00
  .10	 97	2	   46.00	    2.00
-1.51	 84	5	   38.00	    1.00
 1.87	116	1	   56.00	    3.00
 1.15	102	2	   42.00	    2.00
-1.27	 97	7	   44.00	    2.00
 -.93	 95	5	   55.00	    1.00
 -.37	 87	5	   42.00	    1.00
-1.98	 85	6	   40.00	    1.00
  .13	108	5	   51.00	    3.00
 -.44	 99	4	   41.00	    2.00
 -.72	 97	5	   55.00	    2.00
-1.60	 97	7	   41.00	    2.00
 -.52	102	1	   48.00	    2.00
  .74	101	5	   40.00	    2.00
  .71	 94	7	   39.00	    1.00
 -.18	115	2	   68.00	    3.00
 1.74	102	2	   58.00	    2.00
  .94	 97	3	   52.00	    2.00
 -.21	100	6	   49.00	    2.00
  .29	 91	4	   39.00	    1.00
  .02	 95	4	   56.00	    1.00
  .86	100	3	   49.00	    2.00
  .08	 93	2	   44.00	    1.00
 -.23	120	3	   71.00	    3.00
 1.02	 97	4	   48.00	    2.00
 -.29	 97	2	   45.00	    2.00
 2.16	118	2	   71.00	    3.00
 -.81	 95	5	   40.00	    1.00
  .80	 91	2	   44.00	    1.00
-1.19	 79	2	   38.00	    1.00
 2.00	122	3	   59.00	    3.00
  .41	102	7	   48.00	    2.00
 -.93	104	3	   46.00	    2.00
 1.03	 93	5	   46.00	    1.00
  .75	 84	4	   35.00	    1.00
 -.88	 84	3	   44.00	    1.00
 2.11	106	0	   68.00	    3.00
 -.64	107	4	   45.00	    3.00
  .12	 95	4	   47.00	    1.00
 -.05	100	3	   52.00	    2.00
 -.04	100	3	   50.00	    2.00
 1.29	102	8	   53.00	    2.00
-1.73	101	3	   49.00	    2.00
 2.29	 91	4	   46.00	    1.00
  .53	 91	3	   49.00	    1.00
  .89	102	7	   51.00	    2.00
-1.46	 90	5	   43.00	    1.00
 -.96	 98	7	   49.00	    2.00
 -.61	 98	5	   40.00	    2.00
  .92	107	6	   38.00	    3.00
 1.53	101	5	   56.00	    2.00
 -.08	 96	5	   54.00	    1.00
 -.60	109	3	   57.00	    3.00
-1.59	 93	6	   39.00	    1.00
  .54	105	7	   48.00	    3.00
 1.33	105	3	   69.00	    3.00
  .20	107	5	   48.00	    3.00
 -.75	112	5	   50.00	    3.00
-1.16	100	6	   54.00	    2.00
  .86	109	3	   63.00	    3.00
 2.55	121	3	   60.00	    3.00
  .82	 94	4	   58.00	    1.00
  .21	101	6	   52.00	    2.00
 -.88	 83	5	   37.00	    1.00
 -.33	 85	6	   43.00	    1.00
 1.34	 95	5	   56.00	    1.00
-2.06	 96	3	   50.00	    1.00
  .69	104	7	   37.00	    2.00
 -.83	 94	4	   55.00	    1.00
  .63	109	6	   50.00	    3.00
-1.64	101	5	   50.00	    2.00
 1.06	107	2	   56.00	    3.00
-1.03	 88	4	   33.00	    1.00
  .50	119	2	   71.00	    3.00
 1.30	 81	1	   32.00	    1.00
  .95	114	0	   61.00	    3.00
 -.68	103	3	   39.00	    2.00
 1.71	 99	2	   56.00	    2.00
 -.09	 97	7	   45.00	    2.00
 -.59	103	1	   47.00	    2.00
 1.55	107	2	   52.00	    3.00
  .44	 98	6	   36.00	    2.00
 -.39	 91	3	   40.00	    1.00
 -.25	110	0	   49.00	    3.00
-1.08	117	4	   47.00	    3.00
 -.50	105	3	   54.00	    3.00
 -.28	107	6	   55.00	    3.00
  .38	103	5	   47.00	    2.00
  .62	106	7	   53.00	    3.00
  .30	107	1	   67.00	    3.00
 -.53	110	5	   53.00	    3.00
  .56	 92	5	   51.00	    1.00
 -.04	105	3	   45.00	    3.00
  .30	110	6	   46.00	    3.00
 -.66	 97	6	   41.00	    2.00
 2.14	123	2	   70.00	    3.00
  .10	100	4	   51.00	    2.00
 -.06	 99	3	   41.00	    2.00
  .28	 92	6	   57.00	    1.00
  .09	110	7	   46.00	    3.00
 1.12	107	7	   44.00	    3.00
 -.49	 93	6	   49.00	    1.00
  .00	 95	5	   48.00	    1.00
  .47	 95	4	   41.00	    1.00
-2.84	 99	7	   51.00	    2.00
 -.77	104	4	   49.00	    2.00
 -.68	 95	2	   42.00	    1.00
  .08	102	1	   61.00	    2.00
 -.38	 93	2	   48.00	    1.00
 1.08	111	4	   57.00	    3.00
 1.52	110	3	   63.00	    3.00
 -.73	 87	6	   53.00	    1.00
 1.08	116	6	   54.00	    3.00
-1.81	102	5	   38.00	    2.00
  .08	 93	3	   41.00	    1.00
 1.08	 85	8	   45.00	    1.00
 1.51	 97	3	   47.00	    2.00
 -.70	113	5	   44.00	    3.00
-1.17	 97	3	   43.00	    2.00
 -.11	 90	4	   45.00	    1.00
  .24	100	3	   42.00	    2.00
 -.35	111	4	   52.00	    3.00
  .51	115	8	   53.00	    3.00
-2.17	 86	5	   39.00	    1.00
  .01	103	4	   53.00	    2.00
 1.10	115	5	   60.00	    3.00
 -.18	 92	4	   29.00	    1.00
 1.18	104	3	   52.00	    2.00
  .60	 98	7	   50.00	    2.00
 -.13	103	2	   53.00	    2.00
  .18	 96	4	   53.00	    1.00
 1.94	 97	5	   41.00	    2.00
 -.40	 92	4	   43.00	    1.00
 1.47	110	4	   59.00	    3.00
 1.30	119	2	   69.00	    3.00
 -.31	 94	4	   54.00	    1.00
-1.65	 89	5	   35.00	    1.00
-1.06	 93	5	   48.00	    1.00
  .49	108	0	   61.00	    3.00
 1.30	114	0	   67.00	    3.00
  .79	101	6	   59.00	    2.00
  .41	110	2	   57.00	    3.00
  .88	117	0	   66.00	    3.00
  .80	 93	3	   37.00	    1.00
 -.45	 95	1	   47.00	    1.00
 -.57	106	5	   32.00	    3.00
  .17	102	3	   54.00	    2.00
  .25	 82	4	   43.00	    1.00
 1.13	118	2	   69.00	    3.00
 -.95	107	5	   46.00	    3.00
  .13	 92	5	   44.00	    1.00
  .61	111	4	   49.00	    3.00
 -.22	 94	3	   38.00	    1.00
 -.58	 97	4	   36.00	    2.00
-2.09	101	1	   44.00	    2.00
 -.65	 93	4	   41.00	    1.00
 1.26	 96	2	   49.00	    1.00
 2.29	112	5	   62.00	    3.00
 1.60	112	1	   69.00	    3.00
 -.69	 98	5	   44.00	    2.00
 -.32	106	2	   47.00	    3.00
 3.12	115	3	   68.00	    3.00
 2.75	130	4	   75.00	    3.00
 -.73	 88	5	   34.00	    1.00
 -.19	 91	5	   49.00	    1.00
 -.22	 97	3	   47.00	    2.00
 -.98	105	3	   49.00	    3.00
 1.06	114	5	   59.00	    3.00
 1.69	122	5	   69.00	    3.00
  .57	 97	3	   40.00	    2.00
  .50	109	3	   65.00	    3.00
  .59	106	7	   58.00	    3.00
  .77	109	5	   66.00	    3.00
 1.20	113	2	   65.00	    3.00
 -.41	100	4	   46.00	    2.00
  .03	 96	5	   53.00	    1.00
  .29	103	4	   66.00	    2.00
 2.68	 91	5	   38.00	    1.00
 1.56	125	5	   66.00	    3.00
 -.08	 98	4	   41.00	    2.00
 1.01	104	6	   47.00	    2.00
 -.49	101	3	   49.00	    2.00
 -.22	 86	4	   42.00	    1.00
-1.32	 92	5	   42.00	    1.00
 1.11	113	0	   57.00	    3.00
 -.26	 77	4	   33.00	    1.00
 2.10	115	2	   72.00	    3.00
-1.15	 89	5	   43.00	    1.00
 -.52	110	8	   50.00	    3.00
  .45	 98	4	   46.00	    2.00
 -.74	103	4	   43.00	    2.00
  .47	 91	3	   39.00	    1.00
 -.84	 94	3	   50.00	    1.00
  .92	 98	4	   59.00	    2.00
  .62	100	5	   50.00	    2.00
  .98	115	2	   59.00	    3.00
-1.34	 92	6	   48.00	    1.00
-2.00	 81	4	   33.00	    1.00
  .76	102	6	   43.00	    2.00
 -.55	 93	5	   48.00	    1.00
 1.21	 96	1	   42.00	    1.00
 -.19	 82	4	   43.00	    1.00
 -.36	 94	5	   47.00	    1.00
 -.73	 91	5	   51.00	    1.00
  .06	105	2	   53.00	    3.00
-2.37	 95	8	   51.00	    1.00
-1.04	107	3	   56.00	    3.00
  .68	117	6	   51.00	    3.00
 1.29	106	4	   59.00	    3.00
  .27	 91	4	   50.00	    1.00
 -.22	 97	4	   47.00	    2.00
 -.51	107	7	   49.00	    3.00
 1.85	 90	2	   42.00	    1.00
  .31	109	3	   65.00	    3.00
  .76	 96	4	   46.00	    1.00
  .36	102	5	   53.00	    2.00
  .05	 96	4	   44.00	    1.00
 -.25	 99	2	   47.00	    2.00
  .96	 92	5	   55.00	    1.00
  .95	110	5	   53.00	    3.00
  .48	 93	4	   56.00	    1.00
  .31	 90	5	   45.00	    1.00
  .32	113	4	   53.00	    3.00
 -.20	 92	7	   46.00	    1.00
  .47	 93	6	   60.00	    1.00
 -.31	 95	5	   50.00	    1.00
  .68	103	5	   57.00	    2.00
 -.61	 82	6	   49.00	    1.00
  .75	108	7	   57.00	    3.00
  .57	 87	4	   46.00	    1.00
-1.07	107	6	   51.00	    3.00
-1.44	 89	6	   50.00	    1.00
  .35	106	5	   49.00	    3.00
 -.62	 86	3	   40.00	    1.00
 -.07	102	4	   54.00	    2.00
  .07	 98	1	   59.00	    2.00
  .24	106	3	   60.00	    3.00
  .43	102	5	   53.00	    2.00
-1.58	108	3	   48.00	    3.00
-1.18	104	7	   52.00	    2.00
-2.29	 98	2	   40.00	    2.00
  .63	107	4	   56.00	    3.00
 -.15	 99	6	   48.00	    2.00
 -.18	 90	3	   44.00	    1.00
-1.04	102	5	   45.00	    2.00
  .73	 85	5	   51.00	    1.00
  .63	 98	4	   54.00	    2.00
  .88	 93	2	   42.00	    1.00
  .99	 96	4	   50.00	    1.00
  .35	110	6	   54.00	    3.00
 -.74	 93	3	   40.00	    1.00
-1.23	 98	6	   46.00	    2.00
  .54	104	5	   61.00	    2.00
-1.40	 83	5	   45.00	    1.00
 -.09	105	1	   52.00	    3.00
-1.89	 94	2	   45.00	    1.00
-1.44	 89	6	   45.00	    1.00
  .26	117	4	   70.00	    3.00
-1.40	101	8	   46.00	    2.00
-1.00	 88	5	   33.00	    1.00
-1.73	103	4	   40.00	    2.00
 -.79	107	3	   56.00	    3.00
 2.30	125	3	   71.00	    3.00
 -.75	 75	5	   44.00	    1.00
  .37	110	5	   52.00	    3.00
  .25	 90	5	   36.00	    1.00
 -.29	 78	6	   44.00	    1.00
  .30	 95	6	   52.00	    1.00
  .83	116	1	   64.00	    3.00
 -.56	 98	4	   52.00	    2.00
 1.06	113	3	   57.00	    3.00
