0.5133333	10.072691	10.0733333	9.95	9.8166667	9.9158317	9.9233333	9.88	10.1490655	10.3433333	10.2133333	9.9533333	10.09	10.0566667	9.9566667
0.5006573	2.9005633	3.1198934	2.9078662	2.9105486	2.7339672	2.9710063	2.9178725	2.9787054	3.2445667	2.8380753	2.9811822	2.6111223	3.0205742	2.8709342
1														
0.0382605	1													
0.0100777	0.7714702	1												
-0.1270396	0.2717613	0.2802111	1											
-0.0568435	0.3790119	0.4114152	0.4071197	1										
-0.0885494	0.3223361	0.283115	0.378951	0.4766023	1									
0.1232305	0.2941848	0.3408578	0.3700331	0.3422058	0.3302987	1								
0.069781	0.2485115	0.2687944	0.256292	0.3116619	0.2113825	0.3345787	1							
0.1208914	0.5154402	0.5212632	0.3748823	0.3991552	0.3474305	0.4207036	0.2802276	1						
-0.0120925	0.4467542	0.5109369	0.3573739	0.7557322	0.5155521	0.3947947	0.3470375	0.4798704	1					
0.1533404	0.4806562	0.547426	0.3964224	0.3885802	0.3680699	0.5211537	0.309233	0.8504039	0.4961436	1				
-0.1250655	0.2711663	0.2466843	0.4160116	0.2784603	0.3087028	0.3485009	0.2112027	0.3580953	0.326683	0.400424	1			
-0.094301	0.3774038	0.386332	0.5102312	0.4519351	0.4547524	0.3582908	0.2564641	0.4407046	0.465328	0.4333686	0.4340565	1		
-0.0237227	0.4275072	0.4563071	0.4130804	0.7243659	0.5298415	0.3843458	0.3662	0.4840789	0.7542355	0.4882051	0.3327045	0.5035409	1	
0.0713717	0.2657641	0.3233407	0.343871	0.3816845	0.2930262	0.4058296	0.5287758	0.3731602	0.4328156	0.4116086	0.2940099	0.3195174	0.4195076	1
