-1.33	-1.09	1.19	0.69	7.47	6.30	2.09	2.48
1.32	0.55	-0.13	-0.07	2.72	2.76	1.42	2.16
-0.64	-1.09	-0.29	-1.26	6.40	5.39	1.59	1.38
1.42	-0.36	-0.19	-0.56	0.99	1.05	0.94	2.13
0.58	-0.01	-0.36	-0.13	2.80	3.56	0.36	2.20
-1.20	-1.51	0.04	0.07	7.07	7.79	1.37	2.03
0.42	0.39	-0.25	0.40	3.68	3.47	2.08	3.00
-0.40	-0.81	0.78	1.03	7.03	4.94	2.03	2.61
1.99	1.89	-0.45	-0.66	1.51	5.08	0.66	0.99
-0.38	-1.76	0.64	0.03	6.68	4.95	2.27	2.34
0.09	0.70	1.19	0.67	8.45	4.43	2.25	2.39
0.25	-0.15	1.32	0.14	5.36	6.22	2.16	2.90
-0.07	-0.01	-0.45	-0.10	7.58	7.25	1.79	2.79
0.37	0.55	0.71	0.40	4.23	4.17	2.20	2.29
-1.30	-1.80	0.62	0.54	6.48	4.71	2.13	2.66
-0.92	-0.42	-1.01	-0.57	7.32	7.00	1.08	3.14
0.48	0.15	0.16	0.49	6.00	7.03	0.72	1.92
-0.43	0.29	-1.19	-0.24	3.76	3.98	0.47	2.71
-1.33	-1.95	-0.04	-0.29	7.20	8.34	1.98	2.18
1.43	0.96	0.42	0.62	3.31	3.52	0.32	2.38
-0.41	-0.26	-0.23	0.34	4.84	2.81	2.26	2.42
0.29	-0.47	0.46	-0.07	5.30	8.07	1.30	1.45
1.36	0.13	-0.10	1.29	4.95	4.07	1.77	2.22
-0.98	-0.07	0.86	1.13	2.06	3.13	1.92	2.31
0.76	-0.28	-0.19	-0.75	4.26	3.71	0.78	2.25
-0.18	-0.23	0.29	0.83	5.61	5.79	1.10	1.74
0.58	0.40	-0.54	-0.51	5.17	3.86	1.02	1.95
0.45	-1.06	0.54	0.48	3.32	1.63	1.08	1.98
0.25	-1.55	1.01	0.64	3.13	5.22	1.25	1.85
0.88	0.10	-0.07	-0.33	4.20	3.95	0.77	2.38
-0.15	-0.70	1.20	-0.41	3.84	2.51	1.69	2.07
1.07	0.76	-0.16	0.01	4.47	5.42	1.62	1.90
-0.26	-0.82	0.61	-0.10	6.25	3.17	1.05	2.73
0.25	0.01	-0.17	0.79	2.87	3.32	1.55	3.47
0.20	0.81	-0.28	1.85	3.84	2.76	1.15	1.88
0.18	-0.16	-0.01	0.19	-0.78	2.31	1.09	1.14
0.85	0.63	0.40	0.32	6.78	7.17	0.90	2.77
2.05	1.73	-1.08	-0.16	1.08	3.05	1.58	0.85
-0.93	-0.87	-0.56	0.61	3.94	5.90	1.39	2.99
-0.57	0.25	-0.69	-1.23	3.84	6.76	1.97	3.66
0.56	0.40	-0.37	-0.21	5.65	5.93	1.64	1.20
0.39	-1.01	0.49	1.57	3.40	3.28	-0.02	0.69
0.37	0.51	-0.09	1.06	5.07	6.29	0.70	2.37
0.04	-0.18	-0.88	-0.46	2.58	3.89	1.21	2.40
1.35	0.28	1.19	1.39	5.55	5.73	1.83	4.11
0.21	-0.53	1.57	1.07	7.83	5.43	1.22	0.78
0.41	0.32	-0.57	-0.25	4.89	4.93	1.44	2.41
-0.53	0.48	0.42	0.21	5.29	6.77	1.73	1.99
-0.35	0.58	0.64	1.08	6.06	7.61	1.99	0.93
-0.98	-1.50	0.37	0.84	6.97	8.14	1.76	1.97
0.55	0.13	0.41	0.49	5.44	5.17	1.99	2.61
-0.07	-0.62	0.61	0.55	6.67	5.24	2.30	2.49
0.33	0.01	-0.63	0.50	6.50	4.47	1.15	2.54
-0.82	-1.50	1.67	-1.19	6.24	9.40	2.24	2.86
0.15	-0.04	0.60	-0.37	7.23	5.62	1.12	2.54
0.73	0.00	-0.65	-0.48	3.47	4.75	1.02	1.46
-0.24	-0.78	0.45	0.53	8.00	8.20	1.94	2.79
-0.22	-0.80	-0.25	-0.74	6.68	5.63	2.35	2.08
0.68	0.72	0.46	0.31	4.36	5.96	2.00	2.41
0.83	0.35	-1.17	-0.11	4.49	7.71	1.37	1.36
0.18	0.68	-0.80	-0.47	4.05	6.76	0.74	0.31
1.16	1.16	-0.84	-0.30	3.70	4.26	1.96	2.94
1.41	1.47	-0.24	0.45	2.21	3.50	0.77	2.12
1.71	0.89	0.22	0.13	3.12	2.71	1.17	1.41
0.69	1.03	-0.76	-0.34	3.99	6.17	2.63	1.81
-0.03	-0.61	-0.45	0.40	7.53	6.06	1.30	2.85
0.56	0.07	-0.47	0.39	5.08	4.62	0.89	1.63
-0.22	-0.33	0.56	0.96	8.02	8.08	2.11	1.93
1.89	0.62	-0.80	-0.35	4.44	3.83	0.72	1.78
-1.04	-1.27	0.55	0.20	7.24	7.38	1.85	2.37
0.13	0.59	1.05	0.57	7.00	5.01	1.51	1.64
0.56	0.27	-0.22	0.90	8.06	7.94	1.61	0.97
-0.01	-0.51	0.66	0.15	6.56	5.64	1.42	2.16
0.98	0.88	0.49	-0.07	5.03	6.34	1.10	0.94
0.79	0.23	-0.61	-0.52	3.34	4.11	1.47	1.22
0.44	0.02	-0.60	0.54	4.22	2.92	1.12	2.72
-0.31	0.49	-0.38	0.46	5.05	4.64	1.76	3.46
1.66	0.99	-1.13	-0.63	3.68	3.46	1.81	2.17
0.76	1.84	0.45	0.91	2.23	1.80	1.50	1.65
1.36	1.26	-0.18	-0.59	2.24	3.10	1.53	2.20
0.35	-1.23	0.19	0.50	4.98	6.49	1.31	2.29
0.47	0.48	-0.64	0.07	4.17	6.32	1.79	1.82
0.96	-0.05	-0.09	1.12	6.15	6.88	1.94	1.91
-0.01	-0.75	0.35	-0.38	5.25	6.34	1.33	3.26
1.26	-0.19	-0.08	0.29	4.42	2.81	0.69	3.30
-0.12	-0.67	-0.38	-0.22	4.63	5.40	1.85	1.35
0.73	-0.45	-1.34	0.41	6.53	3.34	1.72	1.61
-0.35	-0.86	-0.45	0.11	5.34	7.42	1.95	2.23
-1.06	-0.82	0.69	0.35	8.66	8.94	2.12	2.14
1.85	1.72	0.36	-0.42	5.89	4.86	1.56	0.88
0.97	0.99	-0.61	0.58	4.54	2.22	1.62	1.81
1.88	1.16	-0.92	-0.32	4.24	3.32	0.83	1.00
-1.20	-0.95	0.05	0.61	8.39	9.36	1.30	2.34
0.86	2.03	-0.40	-0.89	5.35	4.86	0.97	2.26
2.39	1.59	-0.89	-1.28	4.59	4.05	0.83	1.01
-0.66	-1.80	-0.41	-0.52	5.72	3.71	0.55	2.38
0.03	-0.18	-0.29	-0.08	4.17	4.07	1.94	1.21
0.82	1.00	-0.09	-0.45	4.95	4.76	1.63	1.29
0.79	0.84	-0.24	0.05	8.89	6.55	1.99	2.30
0.45	-0.31	-0.03	-0.30	6.72	7.48	2.13	2.03
-0.42	-0.67	0.91	0.87	6.77	8.64	2.12	2.02
0.02	0.94	0.71	-0.07	5.68	5.54	2.53	2.70
-1.76	-0.94	1.26	0.82	5.75	7.65	2.32	2.11
0.84	0.09	-0.15	-0.96	3.81	6.18	1.86	2.90
0.64	0.30	-0.42	-0.66	5.29	2.19	1.14	2.94
-1.19	-0.54	-0.20	-0.95	5.47	4.76	1.43	1.89
1.56	0.50	-0.30	0.98	6.55	6.11	1.62	1.42
0.35	1.12	-0.20	-0.56	5.26	6.79	1.58	2.43
-0.49	-0.22	-0.63	-0.65	7.71	6.67	1.56	0.12
0.20	0.21	0.73	-0.62	4.16	4.42	1.61	2.27
-0.94	-0.53	0.81	-0.09	7.68	7.49	1.67	2.26
0.31	1.07	-1.37	-1.71	2.06	2.99	1.06	1.40
-0.51	-1.48	0.17	-0.24	9.17	7.34	2.55	2.90
-0.18	-0.71	0.41	-0.07	7.51	4.20	1.59	1.89
0.73	0.51	-0.38	0.57	5.69	6.72	1.95	2.26
-1.10	-0.67	0.30	-0.79	6.30	7.53	1.56	3.52
-0.66	-1.23	0.37	-0.21	7.33	6.90	0.66	2.17
-0.09	-0.36	0.24	0.69	5.64	6.16	1.88	2.46
0.83	1.16	0.97	-0.19	5.60	4.37	1.13	1.73
-1.55	-1.15	-0.12	0.72	1.74	4.31	1.57	2.00
0.31	1.62	0.78	-0.46	6.00	6.17	1.77	1.55
1.51	0.80	-0.51	-1.08	3.61	6.75	1.99	2.13
-0.12	0.05	0.79	-0.60	6.29	4.98	0.72	1.97
-0.21	-0.82	-0.05	0.66	5.06	4.51	1.77	1.74
-0.25	-1.55	-0.51	-0.09	6.15	5.98	2.36	0.72
-0.28	-0.54	0.06	0.43	6.06	5.95	1.57	0.70
-0.42	-0.79	0.11	0.42	8.08	6.25	1.93	1.73
0.38	0.52	0.21	0.13	3.89	2.92	1.71	1.48
-0.83	-1.14	-0.24	-0.49	6.15	5.46	1.45	1.76
0.87	-0.21	0.24	0.28	7.40	6.49	1.52	2.61
0.52	-0.05	-0.39	-0.22	4.66	5.33	1.61	2.30
-0.93	-1.12	0.53	-0.16	6.94	5.95	2.47	2.86
-1.56	-0.43	0.54	-0.01	6.76	4.46	2.41	2.35
0.39	0.42	0.12	-0.20	3.28	4.54	0.28	1.09
0.01	1.09	-0.58	0.19	9.36	7.56	2.97	3.37
1.51	0.74	-0.90	-0.91	1.64	3.54	0.96	1.57
-0.55	-0.08	-0.76	-0.87	6.44	3.94	1.12	0.95
-0.31	-1.28	0.38	0.24	7.95	7.16	0.88	1.97
-1.08	-0.74	0.52	0.17	5.85	6.38	1.55	2.23
-0.41	-0.35	-0.51	-0.16	4.92	5.09	1.67	1.14
-0.25	-0.12	-0.38	-0.08	7.62	8.94	0.90	2.53
0.08	0.08	0.72	0.45	5.93	4.34	1.46	2.37
0.16	-0.03	0.71	-0.05	4.31	4.40	1.37	2.47
-0.21	0.34	-0.63	0.81	5.04	5.86	2.03	1.87
-0.30	-1.71	-0.19	0.23	7.39	6.64	2.30	2.69
-0.49	0.01	0.85	0.52	4.34	6.50	1.21	1.19
0.81	-1.13	-0.07	-0.77	4.64	5.65	1.29	1.52
