    6.00    6.00    4.00    5.00    3.00    4.00   12.96    4.00    4.00    3.00    5.00    5.00    4.00
    4.00    5.00    5.00    2.00    3.00    3.00   12.50    3.00    2.00    2.00    4.00    4.00    3.00
    5.00    7.00    6.00    6.00    1.00    2.00   14.23    3.00    3.00    3.00    4.00    4.00    4.00
    5.00    4.00    5.00    5.00    2.00    3.00   11.42    4.00    4.00    3.00     .00   -1.00    1.00
   10.00    6.00    8.00    7.00    1.00    3.00   11.78    3.00    3.00    3.00    5.00    3.00    6.00
    5.00    5.00    6.00    6.00    1.00    4.00   10.52    3.00    3.00    3.00    2.00    3.00    3.00
    9.00    7.00    4.00    6.00    3.00    4.00    7.87    3.00    3.00    4.00    2.00    2.00    5.00
    7.00    6.00    5.00    5.00    2.00    5.00   13.96    2.00    3.00    4.00   -1.00    2.00    2.00
    6.00    7.00    5.00    4.00    2.00    4.00   10.05    3.00    3.00    3.00    1.00    1.00    1.00
    8.00    8.00    7.00    7.00    2.00    3.00   13.88    4.00    3.00    2.00    3.00    3.00    4.00
    9.00    7.00    7.00    5.00    2.00    2.00    9.85    3.00    2.00    1.00    3.00    3.00    3.00
    5.00    5.00    6.00    5.00    1.00    3.00    7.27    2.00    2.00    2.00    3.00    3.00    4.00
    2.00    1.00    3.00    3.00    1.00    3.00   11.56    2.00    2.00    2.00    2.00    1.00    2.00
    6.00   10.00    7.00    5.00    2.00    3.00    7.62    3.00    3.00    3.00    4.00    4.00    5.00
    9.00   10.00    6.00    7.00    2.00    3.00    8.56    4.00    4.00    5.00    5.00    5.00    5.00
    5.00    7.00    7.00    4.00    4.00    3.00     .57    3.00    4.00    4.00    3.00    3.00    3.00
    4.00    4.00    6.00    5.00    3.00    4.00   15.74    5.00    3.00    4.00    4.00    4.00    4.00
    4.00    3.00    5.00    4.00     .00    1.00    8.00    3.00    2.00    1.00    4.00    2.00    2.00
    9.00    9.00    6.00   10.00    3.00    3.00   14.24    3.00    4.00    4.00    4.00    4.00    7.00
    5.00    4.00    5.00    4.00   -1.00    2.00    6.79    3.00    2.00    2.00    1.00    1.00    3.00
    5.00    3.00    3.00    2.00    3.00    5.00   10.34    2.00    2.00    3.00    2.00    2.00    2.00
    5.00    6.00    5.00    5.00    1.00    3.00   15.20    2.00    2.00    3.00    3.00    3.00    2.00
    5.00    5.00   10.00    8.00    2.00    4.00   15.37    3.00    3.00    2.00    4.00    5.00    4.00
    4.00    4.00    3.00    3.00    2.00    4.00    6.35    3.00    2.00    3.00    1.00    1.00    3.00
    5.00    5.00    6.00    5.00    3.00    3.00    9.04    2.00    3.00    4.00    2.00    2.00    3.00
    7.00    6.00    4.00    4.00    3.00    4.00    8.43    5.00    4.00    5.00    3.00    2.00    4.00
    8.00    8.00    8.00    5.00    3.00    3.00   17.51    4.00    5.00    3.00    6.00    7.00    6.00
    6.00    6.00    6.00    6.00    2.00    3.00    3.55    4.00    4.00    3.00    3.00    3.00    5.00
    8.00    7.00    7.00    8.00    2.00    4.00   10.80    3.00    3.00    3.00    6.00    6.00    7.00
