55.79	51.46	42.85	46.10	58.02	50.82	48.13	52.26	51.32	60.46	62.27	63.24
42.99	40.43	46.79	46.96	34.49	41.72	36.25	29.34	45.67	35.30	46.35	52.84
54.69	45.16	49.61	64.54	54.77	54.79	52.31	49.81	53.72	39.88	37.57	60.28
60.38	60.52	58.38	53.15	49.05	50.64	56.36	62.35	64.89	50.96	50.54	55.00
57.69	38.66	31.93	39.02	63.07	32.98	52.61	47.01	39.77	46.37	38.54	31.09
47.02	55.55	58.24	33.80	57.44	52.01	50.86	53.13	55.47	53.75	48.68	51.36
41.87	52.08	51.23	48.25	53.31	50.79	62.91	49.55	34.87	48.22	43.67	48.14
73.69	63.97	67.11	53.56	49.94	49.15	62.22	65.79	56.40	46.91	53.12	46.27
59.99	73.02	61.84	73.34	75.07	46.41	82.63	61.98	64.99	75.39	59.74	53.16
48.18	51.26	48.53	45.76	54.49	52.54	41.81	39.22	27.99	59.64	54.45	50.19
54.51	52.87	46.66	32.25	41.49	45.51	55.88	44.48	57.02	48.47	61.19	45.33
49.35	42.23	39.36	33.39	21.66	32.37	25.04	35.64	33.15	32.57	29.24	33.45
49.08	48.77	50.40	32.65	42.46	46.16	40.71	39.98	40.55	53.14	49.70	51.81
30.92	32.55	31.65	48.42	35.42	38.39	31.29	36.19	37.46	45.44	42.01	37.26
50.35	53.21	73.77	55.37	46.22	48.60	54.89	59.28	49.40	44.12	47.57	55.48
53.03	55.34	66.05	67.84	47.05	54.37	53.39	60.66	68.68	45.87	49.41	52.15
63.94	53.68	52.94	53.12	68.41	61.11	53.46	56.97	58.62	68.93	67.40	54.87
21.59	37.26	33.82	32.90	30.35	34.28	38.12	40.81	59.57	28.44	30.98	35.87
51.46	66.71	62.87	57.28	57.04	51.77	48.63	52.22	54.56	55.26	50.15	34.30
35.33	23.25	32.75	55.74	34.29	33.56	51.24	49.18	31.80	57.29	42.59	51.17
60.18	53.27	51.53	66.25	56.40	56.03	61.09	57.04	46.33	55.02	55.33	54.60
38.34	37.60	19.49	28.75	32.18	29.90	34.77	39.36	37.07	18.29	17.67	16.76
40.68	43.49	48.74	59.25	63.72	55.85	50.67	49.93	41.17	49.02	55.54	47.84
52.14	44.69	42.96	56.26	38.75	44.73	58.69	59.60	43.60	33.85	43.76	45.16
76.52	78.47	68.03	67.83	56.67	60.41	68.21	80.40	71.85	82.64	68.36	64.70
48.97	37.39	39.40	43.59	34.72	39.91	43.43	46.05	37.34	31.73	41.77	42.82
47.85	50.56	52.39	51.05	41.38	50.87	65.61	60.33	52.91	52.35	48.72	51.32
52.53	58.17	51.19	38.33	40.50	64.95	49.80	58.09	57.46	52.99	50.74	51.60
36.13	44.47	53.38	54.86	53.40	42.02	52.28	66.03	38.44	46.93	45.18	64.71
71.25	75.26	68.10	65.05	67.09	62.40	68.33	70.27	64.27	63.91	59.87	62.70
32.79	43.99	37.27	54.51	56.13	47.12	47.37	52.66	46.23	48.87	38.11	38.13
57.87	58.14	74.41	66.57	68.96	61.00	69.99	51.07	70.80	56.24	75.87	63.21
40.95	53.90	68.13	45.65	50.46	55.84	40.60	58.96	39.09	52.14	48.30	48.70
70.11	50.86	41.54	43.92	60.25	48.76	53.22	51.58	47.30	53.85	57.89	58.07
60.74	65.73	69.83	46.72	52.84	57.38	47.47	50.37	54.74	60.77	57.80	67.98
55.48	42.74	39.59	59.10	54.19	51.36	58.44	65.73	54.81	47.16	45.33	49.91
51.59	54.11	62.20	58.53	52.91	64.00	49.44	63.05	47.51	72.99	64.79	78.81
33.21	36.71	38.27	41.08	43.90	27.42	39.01	26.96	41.22	39.37	45.72	39.78
38.26	43.61	45.60	35.55	38.05	36.86	33.09	24.61	23.46	30.87	37.17	35.53
60.08	56.25	63.34	65.23	55.55	67.86	61.47	53.71	56.02	69.37	68.54	71.11
56.44	43.22	52.02	29.56	43.34	37.75	43.58	28.83	48.72	38.09	40.64	43.73
58.96	56.43	54.91	37.14	47.36	51.09	53.57	36.82	43.88	47.49	56.77	50.31
35.57	33.77	18.00	28.15	42.72	37.06	42.50	44.08	45.77	38.01	36.08	34.55
38.15	52.31	45.81	49.20	60.17	52.05	57.53	56.29	61.24	49.32	65.75	47.94
43.61	59.40	55.55	55.44	59.10	60.22	53.09	41.67	49.23	43.43	51.78	46.73
52.64	50.13	62.36	47.95	52.55	54.56	59.66	61.05	62.60	60.20	66.71	60.65
55.61	43.73	39.32	56.76	47.69	50.87	45.39	49.72	42.96	57.13	60.59	62.12
65.11	64.72	65.71	48.35	55.99	60.60	62.51	68.74	56.42	59.11	71.08	63.32
