X1	X2	X3	Y1
.689569	.196613	-.903088	-.323947
1.311678	.6053	-.008244	.752702
.216439	1.274786	1.364236	1.402238
-.835294	-1.276496	-.169816	-.302214
-1.645444	-.965852	-1.333642	-2.141372
.697456	-.311502	.915977	1.749138
.558244	-.643282	-.094114	1.462819
.217215	.241241	.037078	-.230119
.305253	-1.254297	-1.484789	1.232191
1.236322	1.404394	.677263	.405394
-.913672	-.981942	-.082293	.53597
1.329071	.198723	-.067563	.586152
.9166	-1.508335	-2.062614	-.845256
2.790001	-.86343	1.011597	1.15946
-1.018047	-.399358	-1.096193	-1.577377
-.355126	.738155	.929337	-1.525151
1.269792	.818269	.255683	.691633
.612073	.559023	-.142385	.121493
-.969175	.275243	.266151	-.328296
.613726	.413429	1.767122	-.060147
-2.592777	-1.742502	-1.805536	-1.278717
2.822817	1.867114	1.387239	.718274
-1.410498	-2.014969	-.108379	.295831
-.326327	-1.48722	-.689117	-1.192934
1.190707	3.067843	.98506	2.082016
1.750514	-2.185986	2.234592	.354936
.187845	1.537148	-.433112	-.857819
-.216942	.167287	-.139055	-.446715
.82297	.766788	-.759041	-.768436
-2.515414	.080796	-.163648	-.905144
.537843	.383249	-.468019	-1.586203
-.682939	-.225669	.991995	-.713653
1.029454	.553565	1.829063	.017592
-.077365	-1.034809	-1.116733	-1.496339
-2.965844	-2.07848	-2.544471	-1.277746
-.564754	-.754997	-.930225	-.309489
-.109451	-.164512	.068269	-1.564469
-.471793	-.000871	-.761943	-.819055
-.575422	.623746	.296552	.410776
-2.272762	-2.329446	-1.582797	-.415759
-.700515	-.336605	-1.042369	-.417156
-.149943	.816892	.463646	-.12789
.041322	.42805	2.606986	.647106
-1.477943	-1.592751	-.485475	-.010281
-.718433	-1.542422	-.978277	.150248
.360445	.711765	1.690561	1.730187
-1.631341	-1.074123	-.722565	-.00872
1.911866	-.14106	-.017128	.42821
1.661159	.494418	.056897	.517212
2.031426	1.441455	.116395	.853625
.589358	1.732439	1.328433	-.346471
-3.385301	-1.704184	-1.209428	-2.038279
-.879425	-.378094	.136003	.17829
2.719061	.375968	.348708	1.120763
.173669	2.226339	1.29001	.565465
.006303	-.853872	-1.164692	-.298264
.364001	.336955	-.335109	-2.124108
-1.747516	-3.566458	-1.477991	.462949
-1.030002	-1.316588	1.18595	.581882
-1.979196	.786622	-.618596	.440258
1.212516	.438249	-.030629	1.626365
.054982	-.054541	.710304	.121406
-1.371028	-.821066	-.582281	-.674286
-1.388964	-1.655176	-3.093734	-2.224946
-.426134	-.710047	-.173485	.359647
-.178435	-2.049177	-1.875963	-1.654895
-1.109983	-.870094	.067394	.739743
1.997614	1.363565	.443664	.611872
-1.298336	-.911983	.053562	-.895025
.254691	-.706609	-.782765	.618492
-1.510171	-1.015804	1.0655	.639152
-1.336815	-2.540521	-1.072753	-.656842
3.159787	3.799654	1.343854	1.870874
-1.300228	-1.270546	.071113	1.317102
.918102	2.399349	.412296	-.109853
-.122443	-1.680094	-1.073319	-.515395
-1.351176	-.874349	-.221235	-.137455
-1.07664	-1.85712	-.41408	-.108068
-.256747	.0741	.299497	.067197
-1.281812	-.217972	1.828135	.438784
-.466691	-.361148	-.705599	-.41174
.301632	1.088119	.033571	-1.107836
-1.21641	2.10311	.248587	.347171
.63419	.311237	-.066304	-.390194
-1.652242	-.740675	.654552	.283468
.626551	-.886268	.358529	2.200681
-1.931674	-1.36225	-1.213797	1.326076
2.531455	3.369881	1.466042	1.564753
.426947	-.317049	.444675	.786596
.121262	-.041792	-.596589	-.234052
-2.050536	-.805682	-1.068681	.060623
1.577653	.715734	.527998	1.345268
-.236102	.097761	-1.078354	-1.049117
.937408	1.086218	2.512987	1.738049
1.082026	.059142	1.101115	-.958549
1.581033	.234234	2.165242	.785356
-1.077894	.516417	2.141892	-.462521
-.220885	.495783	-1.413557	.848528
-1.573097	-.766296	-.950963	-1.056343
2.396486	.120367	-1.296456	-.255929
1.444206	.120339	.348191	.508467
-.561471	-.025786	.498535	.593189
1.279946	2.097265	1.905352	-.143061
-.62704	-.20212	-1.37974	-.860791
.343486	.832542	.366221	1.399468
.65307	-.965826	-1.201589	.935669
.638012	.3901	1.23966	1.897294
-.004318	-.665794	-.844392	-.210673
.189152	.54819	1.296531	.846599
-.340947	1.155203	-.547567	.811708
-1.021428	1.397741	.477288	1.69666
-1.999936	-1.77446	-.916801	-1.037425
.397317	-1.844738	-.476034	-1.273849
.394012	.435832	1.144647	.803179
-1.398413	-.85469	-.239425	-1.475034
-.710429	-.997509	-1.428921	-2.098846
-2.04647	-1.924481	-.746315	-.802991
1.200625	.834763	1.259685	1.591135
-.439793	1.174071	.547035	-.809939
-.219586	1.053442	.866087	.787886
.766849	-.901242	.15499	-1.617346
-.340157	-1.212286	-.602413	-2.016251
.842564	-.140636	.085176	.646123
1.06775	.859292	.344325	-1.040431
-.4247	.013274	.242348	-1.850676
-.759902	-.674248	.522183	-.281261
-1.719666	-2.16596	-3.185181	-2.290974
1.253902	.929622	1.189562	1.263036
.57042	.229244	-.014963	-.113569
-1.411784	.303671	-.271274	-.359551
1.78125	1.075266	1.408974	1.276749
1.189841	.321662	1.990356	-.012806
-.76129	1.250259	.665814	.291302
.884554	1.253068	.228169	-1.084344
-.261601	-1.222777	-.17855	-.858658
.315045	.018445	1.322276	-.034056
-.000534	.269822	.849482	.761177
.947895	1.048234	1.558996	.800986
.66784	-.832955	-1.24103	.71074
-.216091	.208676	-.354912	.109835
-.752154	.614415	1.074328	1.124408
1.800328	1.964803	1.377606	.064849
-.185769	.365817	.562172	1.028059
-.493965	-.379326	1.008556	.037195
.178282	1.165765	.879797	.477939
1.481894	.874206	1.305778	-.017933
.284337	-1.368341	.132139	1.155264
1.140823	-.450822	-.273956	.703407
-.029058	.602094	-.057459	-.258925
-.911862	.430957	-.945112	-1.694553
.527231	.867221	-.444801	-.565594
.410692	-.303985	.739	-.001046
-2.414206	-2.06213	-1.574289	-1.433406
-.520529	-.686285	.031567	-.210068
1.118535	-.473429	.178801	-.646068
.777701	-.036237	.889968	.340956
.635155	.343516	.179018	-.20477
-.101758	-.458478	-.819626	-.856882
.758842	1.788304	.367474	1.341323
1.255434	1.551672	1.282029	-.228949
.624468	.674739	.136565	-1.728804
-2.097037	-1.750563	-.854465	.472877
-1.514351	-.469086	-2.216449	-1.627657
-.43305	-2.137865	-2.393352	-.230722
.549021	.624569	.827441	-.412891
.99139	-.996491	-1.415192	-.445752
-.580422	.151386	1.04023	.364661
